Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Current Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,State,Average_Monthly_Charge,Churn,Net_Revenue,Sub_Services,Married_Gender,Persona
Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9,No_Offer,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,Active,Active,California,65.92222222222222,0,593.3,4,Married | Female,E - Churn-Risk New Users
Male,46,No,0,Glendale,91206,34.162515,-118.203869,0,9,No_Offer,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10,96.21,610.28,Stayed,Active,Active,Arizona,60.266666666666666,0,504.07,2,Single | Male,B - Balanced Bundle Seekers
Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,California,70.2125,1,280.85,2,Single | Male,E - Churn-Risk New Users
Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,California,95.21923076923076,1,1237.85,5,Married | Male,E - Churn-Risk New Users
Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,No_Offer,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,California,89.13333333333333,1,267.4,3,Married | Female,E - Churn-Risk New Users
Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,Stayed,Active,Active,California,63.49444444444445,0,571.45,5,Single | Female,E - Churn-Risk New Users
Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,Active,Active,California,111.3274647887324,0,7904.25,8,Married | Female,A - Premium Loyal Customers
Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,Stayed,Active,Active,California,85.36190476190477,0,5377.8,2,Married | Male,A - Premium Loyal Customers
Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,Active,Active,California,48.621428571428574,0,340.35,2,Single | Female,E - Churn-Risk New Users
Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65,No_Offer,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,Stayed,Active,Active,Wyoming,91.66,0,5957.9,8,Married | Female,A - Premium Loyal Customers
